3	4	Nordeste	AL	Messias	BR-101	Federal	101BAL0670	104BAL0630			70,5	78,9	EOD	ENTR BR-104(A) - ENTR BR-104(B)	ENTR BR-104(A)	ENTR BR-104(B)	ENTR BR-104(A) → ENTR BR-104(B)	ENTR BR-104(B) → ENTR BR-104(A)	8	2	10
4	4	Nordeste	AL	Olho D'Água Grande	BR-101	Federal	101BAL0890				226,6	244,7	DUP	ENTR AL-225(A) - ENTR AL-225(B) (P/PORTO REAL DO COLÉGIO)	ENTR AL-225(A)	ENTR AL-225(B) (P/PORTO REAL DO COLÉGIO)	ENTR AL-225(A) → ENTR AL-225(B) (P/PORTO REAL DO COLÉGIO)	ENTR AL-225(B) (P/PORTO REAL DO COLÉGIO) → ENTR AL-225(A)	10	2	12
8	4	Nordeste	BA	Feira de Santana	BR-116	Federal	116BBA0690	324BBA0330			403,8	423,1	PAV	ENTR BR-324(A) - ENTR BR-324(B)/BA-502/503 (FEIRA DE SANTANA)	ENTR BR-324(A)	ENTR BR-324(B)/BA-502/503 (FEIRA DE SANTANA)	ENTR BR-324(A) → ENTR BR-324(B)/BA-502/503 (FEIRA DE SANTANA)	ENTR BR-324(B)/BA-502/503 (FEIRA DE SANTANA) → ENTR BR-324(A)	8	2	10
19	4	Centro-Oeste	GO	Formosa	BR-020	Federal	020BGO0110	030BGO0110			3,7	22	PAV	ENTR BR-030(A)/GO-116 (P/FORMOSA) - ENTR GO-346 (P/CABEÇEIRAS)	ENTR BR-030(A)/GO-116 (P/FORMOSA)	ENTR GO-346 (P/CABEÇEIRAS)	ENTR BR-030(A)/GO-116 (P/FORMOSA) → ENTR GO-346 (P/CABEÇEIRAS)	ENTR GO-346 (P/CABEÇEIRAS) → ENTR BR-030(A)/GO-116 (P/FORMOSA)	10	2	12
32	4	Sudeste	MG	Belo Horizonte	BR-040	Federal	040BMG0400	356BMG0040			543,8	563,4	DUP	ENTR BR-356(A) (P/BELO HORIZONTE) - ENTR BR-356(B)	ENTR BR-356(A) (P/BELO HORIZONTE)	ENTR BR-356(B)	ENTR BR-356(A) (P/BELO HORIZONTE) → ENTR BR-356(B)	ENTR BR-356(B) → ENTR BR-356(A) (P/BELO HORIZONTE)	10	2	12
40	4	Sudeste	MG	Araxá	BR-262	Federal	262BMG0890				627,8	674,4	PAV	ENTR MG-187 (P/IBIÁ) - ENTR BR-146 (P/ARAXÁ)	ENTR MG-187 (P/IBIÁ)	ENTR BR-146 (P/ARAXÁ)	ENTR MG-187 (P/IBIÁ) → ENTR BR-146 (P/ARAXÁ)	ENTR BR-146 (P/ARAXÁ) → ENTR MG-187 (P/IBIÁ)	8	2	10
45	4	Sudeste	MG	Jaguaraçu	BR-381	Federal	381BMG0230				267,5	286,7	PAV	ENTR MG-425 (CORONEL FABRICIANO) - ENTR MG-320 (P/JAGUARAÇU)	ENTR MG-425 (CORONEL FABRICIANO)	ENTR MG-320 (P/JAGUARAÇU)	ENTR MG-425 (CORONEL FABRICIANO) → ENTR MG-320 (P/JAGUARAÇU)	ENTR MG-320 (P/JAGUARAÇU) → ENTR MG-425 (CORONEL FABRICIANO)	8	2	10
46	4	Sudeste	MG	São Joaquim de Bicas	BR-381	Federal	381BMG0490				501,4	533,5	DUP	ENTR BR-262(B) (BETIM) - ENTR MG-155	ENTR BR-262(B) (BETIM)	ENTR MG-155	ENTR BR-262(B) (BETIM) → ENTR MG-155	ENTR MG-155 → ENTR BR-262(B) (BETIM)	10	2	12
51	4	Centro-Oeste	MS	Bataguassu	BR-267	Federal	267BMS0880				2,5	27,2	PAV	FIM TRAV RIO PARANÁ (PONTE M. JOPPERT) - INCÍO DA PISTA DUPLA	FIM TRAV RIO PARANÁ (PONTE M. JOPPERT)	INCÍO DA PISTA DUPLA	FIM TRAV RIO PARANÁ (PONTE M. JOPPERT) → INCÍO DA PISTA DUPLA	INCÍO DA PISTA DUPLA → FIM TRAV RIO PARANÁ (PONTE M. JOPPERT)	8	2	10
57	4	Nordeste	PB	Campina Grande	BR-230	Federal	230BPB0215	408BPB0010			135,7	148	DUP	ENTR PB-100 (P/GALANTE) - ENTR BR-104(A)/408(B)/PB-095 (CAMPINA GRANDE)	ENTR PB-100 (P/GALANTE)	ENTR BR-104(A)/408(B)/PB-095 (CAMPINA GRANDE)	ENTR PB-100 (P/GALANTE) → ENTR BR-104(A)/408(B)/PB-095 (CAMPINA GRANDE)	ENTR BR-104(A)/408(B)/PB-095 (CAMPINA GRANDE) → ENTR PB-100 (P/GALANTE)	10	2	12
